city,country,weather_main,weather_description,temperature,temp_min,temp_max,feels_like,wind_speed,wind_direction,cloudiness,visibility,sunrise,sunset,time_stamp
Kota Tinggi,MY,Rain,light rain,31.79,30.97,32.02,36.59,1.95,179,98,10000,1727823045,1727866592,08:20.9
Johor Bahru,MY,Rain,light rain,31.8,30.9,31.95,38.8,3.09,120,40,10000,1727823075,1727866630,08:20.9
Muar town,MY,Clouds,overcast clouds,32.8,32.8,32.8,39.8,2.47,203,92,10000,1727823369,1727866907,08:21.0
Batu Pahat,MY,Clouds,overcast clouds,30.86,30.86,30.86,34.8,2.19,211,98,10000,1727823279,1727866822,08:21.0
Segamat,MY,Rain,light rain,32.75,32.75,32.75,37.56,1.27,212,100,10000,1727823317,1727866840,08:21.0
Larkin,MY,Rain,light rain,31.55,30.79,33.23,38.55,2.78,185,100,10000,1727823080,1727866634,08:21.0
Ayer Hitam,MY,Rain,light rain,32.62,32.62,32.62,36.67,1.56,216,98,10000,1727823220,1727866761,08:21.0
Kluang,MY,Rain,light rain,32.9,32.9,32.9,36.97,1.14,218,100,10000,1727823186,1727866724,08:21.1
Mersing,MY,Clouds,overcast clouds,31.71,31.71,31.71,35.57,2.11,116,97,10000,1727823070,1727866596,08:21.1
Tangkak,MY,Clouds,overcast clouds,32.71,32.71,32.71,37.79,2.21,207,97,10000,1727823378,1727866909,08:21.1
Kulai,MY,Rain,light rain,31.85,31.61,33.29,38.85,2.1,183,98,10000,1727823115,1727866664,08:21.1
Iskandar Puteri,MY,Rain,light rain,31.55,30.82,33.27,38.55,2.5,190,100,10000,1727823103,1727866659,08:21.1
Kota Tinggi,MY,Rain,light rain,33.23,32,33.41,38.68,1.95,179,98,10000,1727823045,1727866592,18:21.7
Johor Bahru,MY,Rain,light rain,32.02,30.9,33.34,39.02,3.09,120,40,10000,1727823075,1727866630,18:21.7
Muar town,MY,Clouds,overcast clouds,32.24,32.02,32.24,39.24,2.47,203,92,10000,1727823369,1727866907,18:21.8
Batu Pahat,MY,Clouds,overcast clouds,30.86,30.86,30.86,34.8,2.19,211,98,10000,1727823279,1727866822,18:21.8
Segamat,MY,Rain,light rain,32.75,32.75,32.75,37.56,1.27,212,100,10000,1727823317,1727866840,18:21.8
Larkin,MY,Rain,light rain,32.18,31.82,33.23,39.18,3.09,120,40,10000,1727823080,1727866634,18:21.9
Ayer Hitam,MY,Rain,light rain,32.62,32.62,32.62,36.67,1.56,216,98,10000,1727823220,1727866761,18:21.9
Kluang,MY,Rain,light rain,32.9,32.9,32.9,36.97,1.14,218,100,10000,1727823186,1727866724,18:21.9
Mersing,MY,Clouds,scattered clouds,33.95,33.95,33.95,40.95,4.12,110,40,10000,1727823070,1727866596,18:22.0
Tangkak,MY,Clouds,overcast clouds,31.93,31.93,32.15,36.04,2.21,207,97,10000,1727823378,1727866909,18:22.0
Kulai,MY,Rain,light rain,32.29,31.88,33.29,39.29,2.1,183,98,10000,1727823115,1727866664,18:22.0
Iskandar Puteri,MY,Rain,light rain,32.26,31.86,33.27,39.26,2.5,190,100,10000,1727823103,1727866659,18:22.1
Kota Tinggi,MY,Rain,light rain,33.23,32,33.41,38.01,1.95,179,98,10000,1727823045,1727866592,28:22.5
Johor Bahru,MY,Rain,light rain,32.19,31.93,33.34,39.19,3.09,120,40,10000,1727823075,1727866630,28:22.6
Muar town,MY,Clouds,overcast clouds,32.24,32.02,32.24,39.24,2.47,203,92,10000,1727823369,1727866907,28:22.6
Batu Pahat,MY,Clouds,overcast clouds,30.86,30.86,30.86,34.8,2.19,211,98,10000,1727823279,1727866822,28:22.6
Segamat,MY,Rain,light rain,32.75,32.75,32.75,37.56,1.27,212,100,10000,1727823317,1727866840,28:22.6
Larkin,MY,Rain,light rain,32.18,31.82,33.23,39.18,3.09,120,40,10000,1727823080,1727866634,28:22.7
Ayer Hitam,MY,Rain,light rain,32.62,32.62,32.62,36.67,1.56,216,98,10000,1727823220,1727866761,28:22.8
Kluang,MY,Rain,light rain,32.9,32.9,32.9,36.97,1.14,218,100,10000,1727823186,1727866724,28:22.8
Mersing,MY,Clouds,scattered clouds,33.95,33.95,33.95,40.95,4.12,110,40,10000,1727823070,1727866596,28:22.8
Tangkak,MY,Clouds,overcast clouds,31.93,31.93,32.15,36.04,2.21,207,97,10000,1727823378,1727866909,28:22.9
Kulai,MY,Rain,light rain,32.72,31.88,33.29,39.72,3.09,150,40,10000,1727823115,1727866664,28:22.9
Iskandar Puteri,MY,Rain,light rain,32.26,31.86,33.27,39.26,2.5,190,100,10000,1727823103,1727866659,28:22.9
